City,Year,Month,AverageTemperature
0,1863,7,27.347
0,1863,8,26.991
0,1863,9,26.7
0,1863,10,26.248
0,1863,11,25.919
0,1863,12,24.583
0,1864,1,23.869
0,1864,2,23.841
0,1864,3,23.221
0,1864,4,24.228
0,1864,5,25.601
0,1864,6,27.548
0,1864,7,27.371
0,1864,8,26.907
0,1864,9,27.014
0,1864,10,26.016
0,1864,11,25.853
0,1864,12,25.586
0,1865,1,25.133
0,1865,2,23.92
0,1865,3,23.568
0,1865,4,24.216
0,1865,5,25.914
0,1865,6,27.506
0,1865,7,27.489
0,1865,8,27.446
0,1865,9,26.484
0,1865,10,26.285
0,1865,11,26.494
0,1865,12,26.003
0,1866,1,25.619
0,1866,2,23.616
0,1866,3,24.46
0,1866,4,24.32
0,1866,5,26.004
0,1866,6,26.76
0,1866,7,27.343
0,1866,8,27.239
0,1866,9,27.155
0,1866,10,26.012
0,1866,11,26.003
0,1866,12,26.013
0,1867,1,25.729
0,1867,2,24.758
0,1867,3,25.426
0,1867,4,24.997
0,1867,5,26.327
0,1867,6,27.67
0,1867,7,27.488
0,1867,8,27.487
0,1867,9,27.369
0,1867,10,26.86
0,1867,11,26.473
0,1867,12,27.168
0,1868,1,25.258
0,1868,2,23.533
0,1868,3,24.345
0,1868,4,24.574
0,1868,5,25.696
0,1868,6,27.496
0,1868,7,27.006
0,1868,8,27.199
0,1868,9,26.753
0,1868,10,26.774
0,1868,11,25.204
0,1868,12,24.946
0,1869,1,25.231
0,1869,2,25.661
0,1869,3,24.896
0,1869,4,25.324
0,1869,5,26.402
0,1869,6,27.234
0,1869,7,27.641
0,1869,8,27.045
0,1869,9,27.31
0,1869,10,26.432
0,1869,11,27.499
0,1869,12,24.39
0,1870,1,24.954
0,1870,2,23.98
0,1870,3,24.774
0,1870,4,24.448
0,1870,5,26.399
0,1870,6,27.705
0,1870,7,27.498
0,1870,8,27.148
0,1870,9,27.875
0,1870,10,26.597
0,1870,11,26.006
0,1870,12,23.566
0,1871,1,24.055
0,1871,2,24.308
0,1871,3,24.009
0,1871,4,24.87
0,1871,5,25.671
0,1871,6,26.832
0,1871,7,27.317
0,1871,8,27.963
0,1871,9,27.433
0,1871,10,26.183
0,1871,11,26.599
0,1871,12,25.545
0,1872,1,23.619
0,1872,2,24.287
0,1872,3,24.48
0,1872,4,24.939
0,1872,5,26.904
0,1872,6,27.404
0,1872,7,27.817
0,1872,8,27.21
0,1872,9,27.546
0,1872,10,26.719
0,1872,11,25.159
0,1872,12,24.712
0,1873,1,23.573
0,1873,2,25.98
0,1873,3,24.488
0,1873,4,23.823
0,1873,5,26.709
0,1873,6,26.957
0,1873,7,27.177
0,1873,8,26.953
0,1873,9,26.39
0,1873,10,26.57
0,1873,11,25.156
0,1873,12,26.533
0,1874,1,24.822
0,1874,2,25.483
0,1874,3,24.867
0,1874,4,23.531
0,1874,5,25.333
0,1874,6,26.52
0,1874,7,26.698
0,1874,8,27.742
0,1874,9,26.562
0,1874,10,26.243
0,1874,11,26.679
0,1874,12,26.21
0,1875,1,23.332
0,1875,2,23.837
0,1875,3,24.51
0,1875,4,23.995
0,1875,5,25.958
0,1875,6,27.21
0,1875,7,27.409
0,1875,8,27.293
0,1875,9,25.94
0,1875,10,26.221
0,1875,11,26.493
0,1875,12,25.938
0,1876,1,25.711
0,1876,2,24.416
0,1876,3,24.23
0,1876,4,24.433
0,1876,5,25.654
0,1876,6,27.148
0,1876,7,27.266
0,1876,8,27.266
0,1876,9,26.688
0,1876,10,26.551
0,1876,11,25.492
0,1876,12,23.604
0,1877,1,24.188
0,1877,2,23.712
0,1877,3,23.63
0,1877,4,24.256
0,1877,5,26.094
0,1877,6,27.1
0,1877,7,27.752
0,1877,8,28.145
0,1877,9,27.465
0,1877,10,27.916
0,1877,11,26.389
0,1877,12,25.598
0,1878,1,25.023
0,1878,2,24.587
0,1878,3,24.658
0,1878,4,25.878
0,1878,5,27.238
0,1878,6,28.515
0,1878,7,27.997
0,1878,8,27.255
0,1878,9,26.984
0,1878,10,27.031
0,1878,11,26.864
0,1878,12,25.395
0,1879,1,25.23
0,1879,2,23.667
0,1879,3,23.518
0,1879,4,24.489
0,1879,5,26.121
0,1879,6,26.658
0,1879,7,27.48
0,1879,8,26.999
0,1879,9,26.261
0,1879,10,26.13
0,1879,11,25.982
0,1879,12,25.846
0,1880,1,24.405
0,1880,2,24.106
0,1880,3,24.542
0,1880,4,24.302
0,1880,5,26.585
0,1880,6,27.021
0,1880,7,27.314
0,1880,8,27.038
0,1880,9,26.512
0,1880,10,26.259
0,1880,11,27.029
0,1880,12,25.416
0,1881,1,23.963
0,1881,2,23.75
0,1881,3,24.281
0,1881,4,24.798
0,1881,5,26.257
0,1881,6,27.09
0,1881,7,27.613
0,1881,8,27.176
0,1881,9,26.731
0,1881,10,26.876
0,1881,11,26.936
0,1881,12,25.595
0,1882,1,25.075
0,1882,2,24.722
0,1882,3,24.679
0,1882,4,24.902
0,1882,5,25.431
0,1882,6,26.862
0,1882,7,27.226
0,1882,8,26.557
0,1882,9,26.607
0,1882,10,26.721
0,1882,11,25.527
0,1882,12,24.461
0,1883,1,23.9
0,1883,2,23.475
0,1883,3,23.118
0,1883,4,24.388
0,1883,5,25.202
0,1883,6,26.69
0,1883,7,26.8
0,1883,8,26.617
0,1883,9,26.331
0,1883,10,26.6
0,1883,11,26.118
0,1883,12,25.027
0,1884,1,23.614
0,1884,2,23.356
0,1884,3,23.919
0,1884,4,24.378
0,1884,5,24.397
0,1884,6,27.363
0,1884,7,27.004
0,1884,8,26.539
0,1884,9,26.664
0,1884,10,26.164
0,1884,11,25.838
0,1884,12,25.245
0,1885,1,24.303
0,1885,2,23.785
0,1885,3,24.357
0,1885,4,23.853
0,1885,5,25.606
0,1885,6,27.231
0,1885,7,27.113
0,1885,8,26.814
0,1885,9,26.808
0,1885,10,26.4
0,1885,11,26.06
0,1885,12,25.404
0,1886,1,24.253
0,1886,2,23.399
0,1886,3,24.98
0,1886,4,24.71
0,1886,5,26.259
0,1886,6,27.115
0,1886,7,27.524
0,1886,8,27.24
0,1886,9,26.688
0,1886,10,26.39
0,1886,11,25.584
0,1886,12,24.364
0,1887,1,23.478
0,1887,2,23.844
0,1887,3,23.249
0,1887,4,23.695
0,1887,5,25.716
0,1887,6,26.584
0,1887,7,26.884
0,1887,8,26.845
0,1887,9,26.509
0,1887,10,25.656
0,1887,11,25.945
0,1887,12,25.186
0,1888,1,24.152
0,1888,2,23.587
0,1888,3,23.337
0,1888,4,23.872
0,1888,5,25.366
0,1888,6,26.435
0,1888,7,27.178
0,1888,8,27.15
0,1888,9,26.036
0,1888,10,26.766
0,1888,11,26.317
0,1888,12,25.111
0,1889,1,24.982
0,1889,2,24.973
0,1889,3,23.718
0,1889,4,24.608
0,1889,5,26.134
0,1889,6,28.08
0,1889,7,27.731
0,1889,8,26.961
0,1889,9,26.76
0,1889,10,25.93
0,1889,11,26.247
0,1889,12,24.949
0,1890,1,25.202
0,1890,2,23.68
0,1890,3,22.862
0,1890,4,24.783
0,1890,5,25.93
0,1890,6,26.491
0,1890,7,27.141
0,1890,8,26.607
0,1890,9,26.297
0,1890,10,26.161
0,1890,11,25.64
0,1890,12,24.657
0,1891,1,24.381
0,1891,2,24.397
0,1891,3,23.65
0,1891,4,23.689
0,1891,5,25.446
0,1891,6,26.653
0,1891,7,26.997
0,1891,8,26.916
0,1891,9,26.875
0,1891,10,25.473
0,1891,11,26.286
0,1891,12,25.724
0,1892,1,24.348
0,1892,2,24.739
0,1892,3,23.479
0,1892,4,24.878
0,1892,5,26.368
0,1892,6,27.499
0,1892,7,27.424
0,1892,8,27.099
0,1892,9,26.602
0,1892,10,26.252
0,1892,11,25.683
0,1892,12,25.426
0,1893,1,23.701
0,1893,2,24.51
0,1893,3,23.416
0,1893,4,25.245
0,1893,5,25.63
0,1893,6,26.456
0,1893,7,26.435
0,1893,8,26.984
0,1893,9,26.891
0,1893,10,26.08
0,1893,11,26.429
0,1893,12,24.641
0,1894,1,24.97
0,1894,2,24.326
0,1894,3,23.387
0,1894,4,24.423
0,1894,5,26.104
0,1894,6,27.336
0,1894,7,27.078
0,1894,8,27.137
0,1894,9,27.173
0,1894,10,26.384
0,1894,11,25.543
0,1894,12,25.106
0,1895,1,24.208
0,1895,2,23.805
0,1895,3,24.088
0,1895,4,24.717
0,1895,5,26.022
0,1895,6,27.211
0,1895,7,27.233
0,1895,8,27.419
0,1895,9,27.185
0,1895,10,26.31
0,1895,11,27.488
0,1895,12,25.513
0,1896,1,25.051
0,1896,2,23.616
0,1896,3,24.594
0,1896,4,24.977
0,1896,5,26.819
0,1896,6,27.78
0,1896,7,27.903
0,1896,8,27.623
0,1896,9,27.368
0,1896,10,27.594
0,1896,11,27.562
0,1896,12,24.988
0,1897,1,25.286
0,1897,2,25.243
0,1897,3,25.44
0,1897,4,25.148
0,1897,5,26.239
0,1897,6,27.361
0,1897,7,27.235
0,1897,8,27.717
0,1897,9,26.403
0,1897,10,27.289
0,1897,11,27.263
0,1897,12,26.057
0,1898,1,24.923
0,1898,2,23.461
0,1898,3,24.421
0,1898,4,23.973
0,1898,5,26.022
0,1898,6,26.67
0,1898,7,26.719
0,1898,8,26.745
0,1898,9,26.704
0,1898,10,25.993
0,1898,11,26.667
0,1898,12,25.27
0,1899,1,24.177
0,1899,2,23.551
0,1899,3,24.243
0,1899,4,24.057
0,1899,5,26.299
0,1899,6,26.009
0,1899,7,27.182
0,1899,8,27.221
0,1899,9,26.575
0,1899,10,26.816
0,1899,11,26.255
0,1899,12,25.393
0,1900,1,24.917
0,1900,2,24.924
0,1900,3,24.182
0,1900,4,24.415
0,1900,5,25.975
0,1900,6,28.106
0,1900,7,27.112
0,1900,8,27.189
0,1900,9,27.148
0,1900,10,27.268
0,1900,11,26.736
0,1900,12,24.997
0,1901,1,25.005
0,1901,2,24.252
0,1901,3,24.003
0,1901,4,24.05
0,1901,5,26.354
0,1901,6,27.916
0,1901,7,27.227
0,1901,8,27.173
0,1901,9,27.058
0,1901,10,26.288
0,1901,11,26.113
0,1901,12,24.676
0,1902,1,24.23
0,1902,2,24.24
0,1902,3,23.773
0,1902,4,25.105
0,1902,5,26.235
0,1902,6,27.843
0,1902,7,26.779
0,1902,8,27.449
0,1902,9,27.081
0,1902,10,26.471
0,1902,11,26.708
0,1902,12,25.302
0,1903,1,24.218
0,1903,2,24.813
0,1903,3,24.047
0,1903,4,25.069
0,1903,5,26.154
0,1903,6,26.542
0,1903,7,27.167
0,1903,8,26.565
0,1903,9,26.66
0,1903,10,25.84
0,1903,11,25.888
0,1903,12,25.186
0,1904,1,24.57
0,1904,2,23.947
0,1904,3,23.625
0,1904,4,23.863
0,1904,5,25.04
0,1904,6,26.441
0,1904,7,26.299
0,1904,8,26.266
0,1904,9,26.575
0,1904,10,26.26
0,1904,11,25.951
0,1904,12,25.182
0,1905,1,23.952
0,1905,2,24.249
0,1905,3,22.25
0,1905,4,24.04
0,1905,5,27.107
0,1905,6,27.062
0,1905,7,27.125
0,1905,8,27.277
0,1905,9,26.683
0,1905,10,27.66
0,1905,11,28.003
0,1905,12,24.526
0,1906,1,23.477
0,1906,2,22.952
0,1906,3,24.108
0,1906,4,24.296
0,1906,5,26.515
0,1906,6,27.273
0,1906,7,27.605
0,1906,8,26.922
0,1906,9,26.897
0,1906,10,26.885
0,1906,11,26.063
0,1906,12,24.83
0,1907,1,24.796
0,1907,2,23.752
0,1907,3,23.953
0,1907,4,24.242
0,1907,5,26.005
0,1907,6,27.096
0,1907,7,27.031
0,1907,8,26.909
0,1907,9,26.754
0,1907,10,27.047
0,1907,11,27.066
0,1907,12,24.958
0,1908,1,25.053
0,1908,2,24.904
0,1908,3,25.063
0,1908,4,24.796
0,1908,5,25.628
0,1908,6,27.311
0,1908,7,26.575
0,1908,8,27.1
0,1908,9,26.771
0,1908,10,26.081
0,1908,11,25.882
0,1908,12,25.996
0,1909,1,24.291
0,1909,2,24.271
0,1909,3,25.138
0,1909,4,24.853
0,1909,5,27.053
0,1909,6,27.387
0,1909,7,27.775
0,1909,8,27.19
0,1909,9,26.056
0,1909,10,26.651
0,1909,11,26.742
0,1909,12,25.616
0,1910,1,23.873
0,1910,2,24.327
0,1910,3,22.579
0,1910,4,24.001
0,1910,5,25.321
0,1910,6,26.489
0,1910,7,26.844
0,1910,8,27.312
0,1910,9,26.451
0,1910,10,26.495
0,1910,11,26.552
0,1910,12,24.966
0,1911,1,25.034
0,1911,2,24.865
0,1911,3,24.173
0,1911,4,24.651
0,1911,5,24.789
0,1911,6,27.359
0,1911,7,26.823
0,1911,8,27.404
0,1911,9,27.434
0,1911,10,27.292
0,1911,11,27.911
0,1911,12,25.832
0,1912,1,25.122
0,1912,2,23.424
0,1912,3,25.164
0,1912,4,25.628
0,1912,5,26.32
0,1912,6,26.319
0,1912,7,26.773
0,1912,8,26.975
0,1912,9,26.59
0,1912,10,26.84
0,1912,11,25.048
0,1912,12,25.989
0,1913,1,24.918
0,1913,2,24.467
0,1913,3,24.191
0,1913,4,23.188
0,1913,5,24.847
0,1913,6,26.04
0,1913,7,26.357
0,1913,8,26.94
0,1913,9,26.811
0,1913,10,26.661
0,1913,11,26.498
0,1913,12,25.987
0,1914,1,24.702
0,1914,2,24.673
0,1914,3,23.633
0,1914,4,23.788
0,1914,5,25.01
0,1914,6,26.448
0,1914,7,27.157
0,1914,8,27.451
0,1914,9,26.493
0,1914,10,27.054
0,1914,11,26.851
0,1914,12,26.542
0,1915,1,24.669
0,1915,2,24.508
0,1915,3,23.112
0,1915,4,24.295
0,1915,5,26.97
0,1915,6,28.086
0,1915,7,27.461
0,1915,8,27.214
0,1915,9,26.551
0,1915,10,26.25
0,1915,11,26.949
0,1915,12,25.733
0,1916,1,26.036
0,1916,2,24.566
0,1916,3,24.309
0,1916,4,24.036
0,1916,5,26.396
0,1916,6,27.76
0,1916,7,26.764
0,1916,8,26.321
0,1916,9,26.258
0,1916,10,26.545
0,1916,11,26.225
0,1916,12,26.219
0,1917,1,25.663
0,1917,2,24.762
0,1917,3,24.44
0,1917,4,24.155
0,1917,5,26.326
0,1917,6,26.944
0,1917,7,27.116
0,1917,8,27.066
0,1917,9,26.872
0,1917,10,26.515
0,1917,11,25.171
0,1917,12,25.662
0,1918,1,24.651
0,1918,2,25.149
0,1918,3,23.321
0,1918,4,24.278
0,1918,5,26.143
0,1918,6,26.517
0,1918,7,27.023
0,1918,8,26.657
0,1918,9,26.772
0,1918,10,27.473
0,1918,11,27.039
0,1918,12,26.208
0,1919,1,23.738
0,1919,2,24.996
0,1919,3,23.821
0,1919,4,24.288
0,1919,5,26.784
0,1919,6,27.37
0,1919,7,27.222
0,1919,8,27.933
0,1919,9,27.121
0,1919,10,27.804
0,1919,11,27.036
0,1919,12,26.415
0,1920,1,25.014
0,1920,2,25.508
0,1920,3,25.18
0,1920,4,25.506
0,1920,5,25.391
0,1920,6,26.408
0,1920,7,27.66
0,1920,8,27.233
0,1920,9,27.12
0,1920,10,26.804
0,1920,11,26.877
0,1920,12,25.868
0,1921,1,24.753
0,1921,2,24.046
0,1921,3,24.468
0,1921,4,25.092
0,1921,5,26.02
0,1921,6,27.699
0,1921,7,27.169
0,1921,8,27.292
0,1921,9,26.856
0,1921,10,26.658
0,1921,11,26.94
0,1921,12,26.399
0,1922,1,25.516
0,1922,2,25.335
0,1922,3,25.042
0,1922,4,25.345
0,1922,5,26.812
0,1922,6,26.814
0,1922,7,27.74
0,1922,8,27.313
0,1922,9,26.808
0,1922,10,26.402
0,1922,11,27.036
0,1922,12,26.143
0,1923,1,25.392
0,1923,2,24.678
0,1923,3,24.487
0,1923,4,24.89
0,1923,5,26.775
0,1923,6,27.076
0,1923,7,27.287
0,1923,8,27.614
0,1923,9,27.679
0,1923,10,26.288
0,1923,11,26.96
0,1923,12,26.362
0,1924,1,25.296
0,1924,2,24.537
0,1924,3,24.759
0,1924,4,25.205
0,1924,5,26.054
0,1924,6,26.592
0,1924,7,27.458
0,1924,8,27.462
0,1924,9,26.581
0,1924,10,26.554
0,1924,11,25.924
0,1924,12,26.037
0,1925,1,24.771
0,1925,2,24.338
0,1925,3,24.148
0,1925,4,24.965
0,1925,5,25.823
0,1925,6,26.666
0,1925,7,27.444
0,1925,8,27.79
0,1925,9,26.922
0,1925,10,27.481
0,1925,11,26.858
0,1925,12,24.661
0,1926,1,24.801
0,1926,2,24.315
0,1926,3,25.099
0,1926,4,24.284
0,1926,5,26.093
0,1926,6,27.482
0,1926,7,27.605
0,1926,8,27.582
0,1926,9,26.712
0,1926,10,27.296
0,1926,11,26.484
0,1926,12,26.033
0,1927,1,24.39
0,1927,2,24.358
0,1927,3,24.393
0,1927,4,24.507
0,1927,5,26.951
0,1927,6,26.653
0,1927,7,27.517
0,1927,8,27.394
0,1927,9,26.338
0,1927,10,26.686
0,1927,11,26.441
0,1927,12,26.085
0,1928,1,25.095
0,1928,2,25.194
0,1928,3,24.273
0,1928,4,25.011
0,1928,5,26.402
0,1928,6,27.705
0,1928,7,27.695
0,1928,8,27.87
0,1928,9,26.943
0,1928,10,27.285
0,1928,11,26.566
0,1928,12,26.082
0,1929,1,24.883
0,1929,2,24.713
0,1929,3,23.901
0,1929,4,24.929
0,1929,5,26.383
0,1929,6,27.201
0,1929,7,27.257
0,1929,8,27.078
0,1929,9,27.024
0,1929,10,26.647
0,1929,11,27.883
0,1929,12,26.745
0,1930,1,26.448
0,1930,2,25.006
0,1930,3,24.849
0,1930,4,23.878
0,1930,5,26.701
0,1930,6,27.11
0,1930,7,27.46
0,1930,8,27.73
0,1930,9,27.821
0,1930,10,27.16
0,1930,11,26.75
0,1930,12,26.629
0,1931,1,25.302
0,1931,2,24.813
0,1931,3,24.778
0,1931,4,24.524
0,1931,5,25.916
0,1931,6,27.122
0,1931,7,27.073
0,1931,8,27.507
0,1931,9,26.224
0,1931,10,27.112
0,1931,11,26.33
0,1931,12,26.397
0,1932,1,25.093
0,1932,2,25.037
0,1932,3,23.888
0,1932,4,24.284
0,1932,5,26.715
0,1932,6,27.904
0,1932,7,27.476
0,1932,8,27.638
0,1932,9,27.409
0,1932,10,26.899
0,1932,11,25.563
0,1932,12,26.135
0,1933,1,25.406
0,1933,2,25.767
0,1933,3,25.071
0,1933,4,25.785
0,1933,5,27.364
0,1933,6,28.207
0,1933,7,28.195
0,1933,8,27.2
0,1933,9,26.599
0,1933,10,26.374
0,1933,11,26.168
0,1933,12,25.445
0,1934,1,25.671
0,1934,2,25.286
0,1934,3,23.299
0,1934,4,23.889
0,1934,5,25.541
0,1934,6,27.485
0,1934,7,27.851
0,1934,8,27.594
0,1934,9,26.91
0,1934,10,26.618
0,1934,11,26.273
0,1934,12,26.64
0,1935,1,24.592
0,1935,2,23.013
0,1935,3,23.859
0,1935,4,24.257
0,1935,5,26.251
0,1935,6,26.31
0,1935,7,27.351
0,1935,8,26.978
0,1935,9,27.025
0,1935,10,26.885
0,1935,11,27.042
0,1935,12,26.067
0,1936,1,26.108
0,1936,2,25.102
0,1936,3,24.955
0,1936,4,24.647
0,1936,5,25.807
0,1936,6,28.183
0,1936,7,27.386
0,1936,8,27.691
0,1936,9,26.915
0,1936,10,27.048
0,1936,11,27.271
0,1936,12,26.178
0,1937,1,26.89
0,1937,2,25.838
0,1937,3,25.052
0,1937,4,24.853
0,1937,5,26.139
0,1937,6,26.848
0,1937,7,27.349
0,1937,8,27.729
0,1937,9,27.251
0,1937,10,27.335
0,1937,11,26.962
0,1937,12,26.167
0,1938,1,25.171
0,1938,2,24.819
0,1938,3,24.804
0,1938,4,24.36
0,1938,5,26.135
0,1938,6,26.887
0,1938,7,27.108
0,1938,8,27.74
0,1938,9,27.007
0,1938,10,26.67
0,1938,11,27.145
0,1938,12,25.302
0,1939,1,25.188
0,1939,2,24.74
0,1939,3,24.157
0,1939,4,24.447
0,1939,5,25.996
0,1939,6,26.953
0,1939,7,27.404
0,1939,8,27.557
0,1939,9,26.885
0,1939,10,27.328
0,1939,11,26.128
0,1939,12,25.91
0,1940,1,24.688
0,1940,2,24.87
0,1940,3,24.09
0,1940,4,25.177
0,1940,5,26.719
0,1940,6,27.948
0,1940,7,28.259
0,1940,8,28.12
0,1940,9,27.637
0,1940,10,28.128
0,1940,11,27.458
0,1940,12,26.107
0,1941,1,25.357
0,1941,2,25.077
0,1941,3,24.871
0,1941,4,25.817
0,1941,5,26.787
0,1941,6,27.914
0,1941,7,28.018
0,1941,8,28.342
0,1941,9,27.183
0,1941,10,27.392
0,1941,11,27.129
0,1941,12,26.813
0,1942,1,25.333
0,1942,2,25.981
0,1942,3,24.675
0,1942,4,25.112
0,1942,5,27.478
0,1942,6,27.814
0,1942,7,27.926
0,1942,8,27.202
0,1942,9,26.82
0,1942,10,27.36
0,1942,11,27.017
0,1942,12,26.176
0,1943,1,25.436
0,1943,2,24.432
0,1943,3,24.006
0,1943,4,25.061
0,1943,5,26.914
0,1943,6,26.873
0,1943,7,28.233
0,1943,8,27.445
0,1943,9,27.595
0,1943,10,26.873
0,1943,11,26.154
0,1943,12,25.766
0,1944,1,25.162
0,1944,2,25.302
0,1944,3,24.369
0,1944,4,24.795
0,1944,5,26.745
0,1944,6,27.978
0,1944,7,28.277
0,1944,8,27.794
0,1944,9,27.12
0,1944,10,26.315
0,1944,11,27.645
0,1944,12,25.917
0,1945,1,25.683
0,1945,2,25.18
0,1945,3,24.568
0,1945,4,24.87
0,1945,5,26.658
0,1945,6,28.784
0,1945,7,28.47
0,1945,8,27.837
0,1945,9,27.769
0,1945,10,26.699
0,1945,11,26.887
0,1945,12,26.608
0,1946,1,25.358
0,1946,2,25.726
0,1946,3,25.345
0,1946,4,25.316
0,1946,5,27.491
0,1946,6,27.676
0,1946,7,28.178
0,1946,8,27.947
0,1946,9,28.028
0,1946,10,27.258
0,1946,11,27.452
0,1946,12,26.224
0,1947,1,26.13
0,1947,2,25.63
0,1947,3,25.316
0,1947,4,25.421
0,1947,5,26.163
0,1947,6,27.759
0,1947,7,28.295
0,1947,8,27.54
0,1947,9,27.067
0,1947,10,27.682
0,1947,11,27.196
0,1947,12,25.803
0,1948,1,25.181
0,1948,2,26.3
0,1948,3,25.684
0,1948,4,25.254
0,1948,5,27.198
0,1948,6,27.924
0,1948,7,27.878
0,1948,8,28.136
0,1948,9,27.396
0,1948,10,27.486
0,1948,11,28.21
0,1948,12,27.266
0,1949,1,25.587
0,1949,2,25.667
0,1949,3,25.475
0,1949,4,24.599
0,1949,5,27.008
0,1949,6,27.449
0,1949,7,27.962
0,1949,8,28.361
0,1949,9,27.473
0,1949,10,27.563
0,1949,11,25.989
0,1949,12,26.137
0,1950,1,25.87
0,1950,2,25.137
0,1950,3,24.953
0,1950,4,24.797
0,1950,5,26.887
0,1950,6,27.433
0,1950,7,27.149
0,1950,8,28.022
0,1950,9,27.284
0,1950,10,26.514
0,1950,11,26.615
0,1950,12,24.803
0,1951,1,24.746
0,1951,2,24.664
0,1951,3,24.815
0,1951,4,25.422
0,1951,5,26.763
0,1951,6,27.917
0,1951,7,27.729
0,1951,8,28.143
0,1951,9,27.209
0,1951,10,27.918
0,1951,11,28.102
0,1951,12,27.318
0,1952,1,26.594
0,1952,2,25.855
0,1952,3,25.576
0,1952,4,26.156
0,1952,5,26.937
0,1952,6,26.874
0,1952,7,27.691
0,1952,8,27.902
0,1952,9,26.834
0,1952,10,26.159
0,1952,11,27.262
0,1952,12,25.769
0,1953,1,24.577
0,1953,2,25.24
0,1953,3,25.363
0,1953,4,25.573
0,1953,5,26.559
0,1953,6,27.614
0,1953,7,27.835
0,1953,8,28.305
0,1953,9,27.477
0,1953,10,27.18
0,1953,11,26.43
0,1953,12,26.051
0,1954,1,25.8
0,1954,2,25.598
0,1954,3,25.06
0,1954,4,25.255
0,1954,5,26.135
